totalviews_channelelapsedtime,channelid,videocategoryid,channelviewcount,likes_subscriber,views_subscribers,videocount,subscribercount,videoid,dislikes_views,channelelapsedtime,comments_subscriber,likes_views,channelcommentcount,videoviewcount,likes_dislikes,comments_views,totvideos_videocount,elapsedtime,videolikecount,videodislikecount,dislikes_subscriber,totviews_totsubs,views_elapsedtime,videopublished,videocommentcount
0.16519925596076884,UCdzU3DSGzyWzN2118yd9X9g,22,14654,0.5555555555555556,95.11111111111111,30,18,--DwgB78t-c,0.0005841121495327102,88705,0.0,0.005841121495327103,1,1712,-2.0,0.0,488.46666666666664,50040,10,1,0.05555555555555555,814.1111111111111,0.03421262989608313,2012-01-19T18:38:28Z,0
1.1338200815767217,UC0UnhAG47DRyVZGVcbhAXhQ,10,105909,0.2391304347826087,59.32608695652174,51,184,--NZRkXBV7k,0.00027482594356907294,93409,0.010869565217391304,0.004030780505679736,8,10916,-2.0,0.00018321729571271528,2076.6470588235293,22080,44,3,0.016304347826086956,575.5923913043479,0.4943840579710145,2015-03-30T04:04:40Z,2
0.6681201550387597,UCXjtAvK5P3wXBGh0vbGylzg,27,48265,0.023668639053254437,10.289940828402367,72,338,--hoQ2sGG4M,0.0002875215641173088,72240,0.005917159763313609,0.0023001725129384704,5,3478,-2.0,0.0005750431282346176,670.3472222222222,71544,8,1,0.0029585798816568047,142.7958579881657,0.04861344067986134,2009-08-07T06:51:10Z,2
25.65350494473531,UCeKHMeUlcLNPLCLUfZUQI2w,26,2116722,0.007301256178858102,0.8841775883179901,172,22051,--sBoaqBlzA,0.00030773965225419295,82512,0.00045349417259988206,0.008257680668820844,74,19497,-2.0,0.0005128994204236549,12306.523255813954,54096,161,6,0.00027209650355992926,95.99210920139676,0.3604148181011535,2011-08-04T01:07:38Z,10
52.773777521761396,UCNWPDyaWf2eAHnofFLSnEMg,20,1649075,0.004545454545454545,10.004545454545454,2777,220,--7h1S4neDM,0.0,31248,0.0,0.00045433893684688776,0,2201,-2.0,0.0,593.8332733165287,30120,1,0,0.0,7495.795454545455,0.07307436918990703,2014-04-29T15:44:44Z,0
2.2728385648779543,UCdo4nsIhLYABKSnU9IMBvcw,26,211649,0.017241379310344827,56.025862068965516,53,232,--F672jfCMo,0.0,93121,0.0,0.00030773965225419295,1,12998,-2.0,0.0,3993.377358490566,75480,4,0,0.0,912.2801724137931,0.17220455749867514,2009-02-24T02:06:10Z,0
2.5309209890852893,UCZNDDbxNipTnfrSH4NpuoOw,27,209621,0.09174311926605505,77.27522935779817,22,109,--ezS5q-mZg,0.00023744509082274725,82824,0.06422018348623854,0.0011872254541137363,1,8423,-2.0,0.0008310578178796153,9528.227272727272,66384,10,2,0.01834862385321101,1923.1284403669724,0.1268829838515305,2010-03-09T20:34:05Z,7
874.6894620542517,UCgg5HS1oVuMSoGRPuHo-b_A,10,68876547,0.000661122056354044,0.11108172790860649,1159,75629,--XT8O4T3Wc,0.0,78744,0.00003966732338124265,0.005951672419950006,5015,8401,-2.0,0.00035710034519700033,59427.564279551334,63792,50,0,0.0,910.7160877441194,0.13169362929520942,2010-06-26T14:48:04Z,3
67.12555243069505,UCCNZDSGjG6xEoz2lv4FThMQ,20,4009812,0.002050293957808409,0.1616767946247715,813,40482,--Qgwg7mGZY,0.0006111535523300229,59736,0.0008892841262783459,0.012681436210847975,90,6545,-2.0,0.0055003819709702065,4932.118081180812,46752,83,4,0.00009880934736426066,99.05172669334519,0.13999401095140315,2012-06-05T12:37:29Z,36
0.9148717328170377,UCW0Dk2N7209dicPGgYNcnGg,20,45363,0.7222222222222222,502.25555555555553,2,90,--_I8vffnIw,0.0007964073180983563,49584,0.06666666666666667,0.0014379576576775879,0,45203,-2.0,0.0001327345530163927,22681.5,38064,65,36,0.4,504.03333333333336,1.18755254308533,2013-06-01T18:40:56Z,6
